"filename", "language", "C++", "comment", "blank", "total"
"d:\cpp_projects\sirius_pB_2025\dependencies\include\raylib\raylib.h", "C++", 1266, 289, 154, 1709
"d:\cpp_projects\sirius_pB_2025\dependencies\include\raylib\raymath.h", "C++", 2064, 306, 572, 2942
"d:\cpp_projects\sirius_pB_2025\dependencies\include\raylib\rlgl.h", "C++", 3738, 852, 673, 5263
"d:\cpp_projects\sirius_pB_2025\include\core\Animation.h", "C++", 36, 2, 8, 46
"d:\cpp_projects\sirius_pB_2025\include\core\AssetLoader.h", "C++", 15, 0, 6, 21
"d:\cpp_projects\sirius_pB_2025\include\core\Transform.h", "C++", 16, 1, 3, 20
"d:\cpp_projects\sirius_pB_2025\include\game\CustomCamera.h", "C++", 10, 0, 3, 13
"d:\cpp_projects\sirius_pB_2025\include\game\Player.h", "C++", 27, 1, 7, 35
"d:\cpp_projects\sirius_pB_2025\include\game\SceneManager.h", "C++", 33, 0, 8, 41
"d:\cpp_projects\sirius_pB_2025\include\game\Settings.h", "C++", 10, 0, 3, 13
"d:\cpp_projects\sirius_pB_2025\include\game\WindowManager.h", "C++", 29, 9, 11, 49
"d:\cpp_projects\sirius_pB_2025\src\core\Animation.cpp", "C++", 66, 1, 12, 79
"d:\cpp_projects\sirius_pB_2025\src\core\AssetLoader.cpp", "C++", 36, 0, 10, 46
"d:\cpp_projects\sirius_pB_2025\src\core\Transform.cpp", "C++", 8, 0, 2, 10
"d:\cpp_projects\sirius_pB_2025\src\game\CustomCamera.cpp", "C++", 8, 0, 3, 11
"d:\cpp_projects\sirius_pB_2025\src\game\Main.cpp", "C++", 6, 3, 3, 12
"d:\cpp_projects\sirius_pB_2025\src\game\Player.cpp", "C++", 40, 0, 7, 47
"d:\cpp_projects\sirius_pB_2025\src\game\SceneManager.cpp", "C++", 56, 0, 15, 71
"d:\cpp_projects\sirius_pB_2025\src\game\Settings.cpp", "C++", 6, 0, 1, 7
"d:\cpp_projects\sirius_pB_2025\src\game\WindowManager.cpp", "C++", 51, 7, 14, 72
"Total", "-", 7521, 1471, 1515, 10507
